benchmark,% dyn pow,power,FF,LUT,timing,cycles,instr ret,LSU,fetch wait,load,store,jump,cond br,tak c bran,compr ins,mult wait,divd wait,Temp,target
median,0.05,0.263,1476,2298,9.771,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10523,0
median,0.05,0.263,1476,2322,9.771,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10523,1
median,0.05,0.263,1476,2322,8.222,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10523,2
median,0.05,0.263,1476,2310,4.132,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10529,3
median,0.03,0.259,1477,2302,10.763,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10485,4
tower,0.04,0.262,1476,2298,9.771,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10500,0
tower,0.04,0.262,1476,2322,9.771,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10500,1
tower,0.04,0.262,1476,2322,8.222,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10500,2
tower,0.04,0.262,1476,2310,4.132,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10507,3
tower,0.03,0.258,1477,2302,10.763,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10485,4
sort,0.04,0.262,1476,2298,9.771,8281,3570,1177,2356,0,1177,1,1178,1177,1207,0,0,10585,0
sort,0.04,0.262,1476,2322,9.771,8281,3570,1177,2356,0,1177,1,1178,1177,1207,0,0,10585,1
sort,0.04,0.262,1476,2322,8.222,8281,3570,1177,2356,0,1177,1,1178,1177,1207,0,0,10585,2
sort,0.04,0.262,1476,2310,4.132,8281,3570,1177,2356,0,1177,1,1178,1177,1207,0,0,10570,3
sort,0.03,0.258,1477,2302,10.763,8281,3570,1177,2356,0,1177,1,1178,1177,1207,0,0,10523,4
coremark,0.05,0.264,1476,2298,9.771,666666,406319,96957,61456,72504,24029,32208,81060,47659,246417,18988,3060,10524,0
coremark,0.05,0.264,1476,2322,9.771,666666,406319,96957,61456,72504,24029,32208,81060,47659,246417,18988,3060,10524,1
coremark,0.05,0.264,1476,2322,8.222,666666,406319,96957,61456,72504,24029,32208,81060,47659,246417,18988,3060,10524,2
coremark,0.05,0.264,1476,2310,4.132,666666,406319,96957,61456,72504,24029,32208,81060,47659,246417,18988,3060,10520,3
coremark,0.03,0.259,1477,2302,10.763,666666,406319,96957,61456,72504,24029,32208,81060,47659,246417,18988,3060,10428,4
multiply,0.05,0.263,1476,2298,9.771,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10527,0
multiply,0.05,0.263,1476,2322,9.771,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10527,1
multiply,0.05,0.263,1476,2322,8.222,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10527,2
multiply,0.05,0.264,1476,2310,4.132,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10526,3
multiply,0.03,0.258,1477,2302,10.763,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10473,4
median,0.05,0.263,1476,2298,9.66,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10523,0
median,0.05,0.263,1476,2325,9.66,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10523,1
median,0.05,0.263,1476,2325,8.799,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10523,2
median,0.05,0.263,1476,2314,6.775,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10529,3
median,0.03,0.259,1477,2299,9.018,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10485,4
tower,0.04,0.262,1476,2298,9.66,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10500,0
tower,0.04,0.262,1476,2325,9.66,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10500,1
tower,0.04,0.262,1476,2325,8.799,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10500,2
tower,0.04,0.262,1476,2314,6.775,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10507,3
tower,0.03,0.258,1477,2299,9.018,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10485,4
sort,0.04,0.262,1476,2298,9.66,8281,3570,1177,2356,0,1177,1,1178,1177,1207,0,0,10585,0
sort,0.04,0.262,1476,2325,9.66,8281,3570,1177,2356,0,1177,1,1178,1177,1207,0,0,10585,1
sort,0.04,0.262,1476,2325,8.799,8281,3570,1177,2356,0,1177,1,1178,1177,1207,0,0,10585,2
sort,0.04,0.262,1476,2314,6.775,8281,3570,1177,2356,0,1177,1,1178,1177,1207,0,0,10570,3
sort,0.03,0.259,1477,2299,9.018,8281,3570,1177,2356,0,1177,1,1178,1177,1207,0,0,10523,4
coremark,0.05,0.264,1476,2298,9.66,666666,406319,96957,61456,72504,24029,32208,81060,47659,246417,18988,3060,10524,0
coremark,0.05,0.264,1476,2325,9.66,666666,406319,96957,61456,72504,24029,32208,81060,47659,246417,18988,3060,10524,1
coremark,0.05,0.264,1476,2325,8.799,666666,406319,96957,61456,72504,24029,32208,81060,47659,246417,18988,3060,10524,2
coremark,0.05,0.264,1476,2314,6.775,666666,406319,96957,61456,72504,24029,32208,81060,47659,246417,18988,3060,10520,3
coremark,0.03,0.259,1477,2299,9.018,666666,406319,96957,61456,72504,24029,32208,81060,47659,246417,18988,3060,10428,4
multiply,0.05,0.263,1476,2298,9.66,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10527,0
multiply,0.05,0.263,1476,2325,9.66,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10527,1
multiply,0.05,0.263,1476,2325,8.799,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10527,2
multiply,0.05,0.263,1476,2314,6.775,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10526,3
multiply,0.03,0.259,1477,2299,9.018,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10473,4
median,0.05,0.263,1476,2304,8.007,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10523,0
median,0.05,0.263,1476,2327,8.007,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10523,1
median,0.05,0.263,1476,2327,6.75,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10523,2
median,0.05,0.263,1479,2301,6.31,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10529,3
median,0.03,0.259,1477,2304,7.897,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10485,4
tower,0.04,0.262,1476,2304,8.007,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10500,0
tower,0.04,0.262,1476,2327,8.007,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10500,1
tower,0.04,0.262,1476,2327,6.75,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10500,2
tower,0.04,0.262,1479,2301,6.31,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10507,3
tower,0.03,0.258,1477,2304,7.897,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10485,4
sort,0.04,0.262,1476,2304,8.007,8281,3570,1177,2356,0,1177,1,1178,1177,1207,0,0,10585,0
sort,0.04,0.262,1476,2327,8.007,8281,3570,1177,2356,0,1177,1,1178,1177,1207,0,0,10585,1
sort,0.04,0.262,1476,2327,6.75,8281,3570,1177,2356,0,1177,1,1178,1177,1207,0,0,10585,2
sort,0.04,0.262,1479,2301,6.31,8281,3570,1177,2356,0,1177,1,1178,1177,1207,0,0,10570,3
sort,0.03,0.258,1477,2304,7.897,8281,3570,1177,2356,0,1177,1,1178,1177,1207,0,0,10523,4
coremark,0.05,0.264,1476,2304,8.007,666666,406319,96957,61456,72504,24029,32208,81060,47659,246417,18988,3060,10524,0
coremark,0.05,0.264,1476,2327,8.007,666666,406319,96957,61456,72504,24029,32208,81060,47659,246417,18988,3060,10524,1
coremark,0.05,0.264,1476,2327,6.75,666666,406319,96957,61456,72504,24029,32208,81060,47659,246417,18988,3060,10524,2
coremark,0.05,0.264,1479,2301,6.31,666666,406319,96957,61456,72504,24029,32208,81060,47659,246417,18988,3060,10520,3
coremark,0.03,0.259,1477,2304,7.897,666666,406319,96957,61456,72504,24029,32208,81060,47659,246417,18988,3060,10428,4
multiply,0.05,0.263,1476,2304,8.007,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10527,0
multiply,0.05,0.263,1476,2327,8.007,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10527,1
multiply,0.05,0.263,1476,2327,6.75,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10527,2
multiply,0.05,0.263,1479,2301,6.31,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10526,3
multiply,0.03,0.259,1477,2304,7.897,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10473,4
median,0.05,0.263,1477,2652,8.666,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10523,0
median,0.05,0.263,1477,2665,8.67,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10523,1
median,0.05,0.263,1477,2665,9.537,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10523,2
median,0.05,0.263,1477,2666,7.469,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10529,3
median,0.03,0.259,1478,2652,8.954,13945,7395,2401,2148,1995,406,664,2080,1337,3955,0,0,10485,4
tower,0.05,0.263,1477,2652,8.666,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10500,0
tower,0.05,0.263,1477,2665,8.67,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10500,1
tower,0.05,0.263,1477,2665,9.537,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10500,2
tower,0.04,0.262,1477,2666,7.469,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10507,3
tower,0.03,0.258,1478,2652,8.954,16199,9648,4864,454,2399,2378,912,307,161,8355,0,0,10485,4
sort,0.05,0.263,1477,2652,8.666,8281,3570,1177,2356,0,1177,1,1178,1177,1207,0,0,10585,0
sort,0.05,0.263,1477,2665,8.67,8281,3570,1177,2356,0,1177,1,1178,1177,1207,0,0,10585,1
sort,0.05,0.263,1477,2665,9.537,8281,3570,1177,2356,0,1177,1,1178,1177,1207,0,0,10585,2
sort,0.05,0.264,1477,2666,7.469,8281,3570,1177,2356,0,1177,1,1178,1177,1207,0,0,10570,3
sort,0.03,0.258,1478,2652,8.954,8281,3570,1177,2356,0,1177,1,1178,1177,1207,0,0,10523,4
coremark,0.05,0.264,1477,2652,8.666,666666,406319,96957,61456,72504,24029,32208,81060,47659,246417,18988,3060,10524,0
coremark,0.05,0.264,1477,2665,8.67,666666,406319,96957,61456,72504,24029,32208,81060,47659,246417,18988,3060,10524,1
coremark,0.05,0.264,1477,2665,9.537,666666,406319,96957,61456,72504,24029,32208,81060,47659,246417,18988,3060,10524,2
coremark,0.03,0.264,1477,2666,7.469,666666,406319,96957,61456,72504,24029,32208,81060,47659,246417,18988,3060,10520,3
coremark,0.03,0.259,1478,2652,8.954,666666,406319,96957,61456,72504,24029,32208,81060,47659,246417,18988,3060,10428,4
multiply,0.04,0.263,1477,2652,8.666,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10527,0
multiply,0.04,0.263,1477,2665,8.67,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10527,1
multiply,0.04,0.263,1477,2665,9.537,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10527,2
multiply,0.05,0.263,1477,2666,7.469,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10526,3
multiply,0.03,0.258,1478,2652,8.954,34482,21570,515,6175,405,110,204,6656,6018,17578,0,0,10473,4
